Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-19,488.5441045143292,504.6372899220399,487.3227464729768,502.9309997558594,4050706,0.0,0.0
2011-10-20,496.7342933958769,498.96147823699437,492.5673310471159,497.5964660644531,3491086,0.0,0.0
2011-10-21,497.5246278161371,509.3431083484763,475.97124674972184,479.6712341308594,13013939,0.0,0.0
2011-10-24,484.91600026498855,484.9519138588697,463.7577136237199,464.9252014160156,9524337,0.0,0.0
2011-10-25,464.60178068111145,481.71879769940756,455.36976910160917,480.29986572265625,10888454,0.0,0.0
2011-10-28,497.488642833559,510.8158374085446,496.14153821079157,509.01971435546875,6231267,0.0,0.0
2011-10-31,509.01982881782857,513.3304955154368,503.7751621364044,507.6368103027344,3296135,0.0,0.0
2011-11-01,501.1169117672484,501.47614632254715,495.01012165458263,499.3387451171875,4145467,0.0,0.0
2011-11-02,493.93250301663755,502.733504477238,490.9509839572231,499.30291748046875,4977823,0.0,0.0
2011-11-03,497.2014390431553,498.9615997289197,489.0470309468885,495.81842041015625,4186282,0.0,0.0
2011-11-04,502.82313700833663,505.0323651068722,498.09936601096547,500.6498718261719,3629814,0.0,0.0
2011-11-08,503.2723648497625,504.7092540105738,495.207789285757,500.2548828125,3537020,0.0,0.0
2011-11-09,503.27215364387393,503.27215364387393,491.7949526400768,493.66290283203125,3021079,0.0,0.0
2011-11-11,491.05849551821996,491.70508792812547,475.0730558361134,477.9109191894531,4496253,0.0,0.0
2011-11-14,484.59249360888157,484.9158144936671,474.17503944943024,476.6357116699219,3099834,0.0,0.0
2011-11-15,476.33042186443384,481.28772999053007,458.189670539401,462.8236083984375,3474310,0.0,0.0
2011-11-16,458.6926040978064,458.6926040978064,439.68967820453275,444.1799621582031,7832115,0.0,0.0
2011-11-17,442.9227307585534,450.75381786249375,438.37852667661303,442.83294677734375,5588752,0.0,0.0
2011-11-18,441.4857900980625,450.08916642969075,431.463432374429,447.0896911621094,6318573,0.0,0.0
2011-11-21,448.67017644657915,453.91484228700705,438.25272126486266,440.9289245605469,5830969,0.0,0.0
2011-11-22,441.84501267936514,446.7663581053509,438.7197412737211,440.80322265625,3818682,0.0,0.0
2011-11-23,437.5343070369456,441.84502291480646,424.7818753396321,427.2066345214844,5963413,0.0,0.0
2011-11-24,427.4760274794637,441.77308686286455,421.818256817717,439.6896057128906,8078782,0.0,0.0
2011-11-25,437.17507244005674,461.8896367763627,434.66048024004607,454.7590637207031,8496528,0.0,0.0
2011-11-28,461.2430861438302,465.4819254195785,452.6935310857901,459.6804504394531,4008177,0.0,0.0
2011-11-29,459.80619431420075,463.2008176058106,451.95715158824936,458.764404296875,4489008,0.0,0.0
2011-11-30,454.7770692988391,458.9081185487938,449.06537819292777,456.9862976074219,4421153,0.0,0.0
2011-12-01,469.1461198162221,476.29465214925517,462.1412418694767,465.0509338378906,5102259,0.0,0.0
2011-12-02,466.2002990009744,472.09155736613957,459.17746675533454,470.6905822753906,3822012,0.0,0.0
2011-12-05,468.06825424586015,475.59402473890674,464.83524236133206,472.6124572753906,3181830,0.0,0.0
2011-12-07,472.3789960573337,479.56343990694404,469.7925765387344,478.4319152832031,3292254,0.0,0.0
2011-12-08,475.97128835445096,477.76736249043944,449.6401646878253,452.7295227050781,5225202,0.0,0.0
2011-12-09,447.1615075012422,450.5741369469286,437.64208823984376,440.71343994140625,5142129,0.0,0.0
2011-12-12,445.4911648297775,446.19162783302284,426.47028165763123,429.4697570800781,5179016,0.0,0.0
2011-12-13,425.7517952300969,426.30860385017024,414.54404231053593,420.52508544921875,5621775,0.0,0.0
2011-12-14,417.9925640642644,428.87699546473993,415.26244081854804,416.62750244140625,5109322,0.0,0.0
2011-12-15,413.7896311898204,415.46000760341803,399.6721385795165,407.0362243652344,6545531,0.0,0.0
2011-12-16,411.88575173066374,414.5440231500099,380.7769882677187,385.3211669921875,9478680,0.0,0.0
2011-12-19,383.2915714669761,383.2915714669761,368.24010267629603,371.04205322265625,7771565,0.0,0.0
2011-12-20,369.3896382196709,370.97023089278446,348.62652591903475,351.2129211425781,12356095,0.0,0.0
2011-12-21,358.86436975253974,363.1750610946659,348.14154877995526,359.1158142089844,14205451,0.0,0.0
2011-12-22,358.1459253703844,365.49205498133017,351.3566043881216,360.9478759765625,9982147,0.0,0.0
2011-12-23,366.3721234142266,374.9216539795445,358.8643582282402,362.4027099609375,8273101,0.0,0.0
2011-12-26,364.8813666917851,371.34739120876736,364.2527062346916,368.5454406738281,2640631,0.0,0.0
2011-12-27,369.4255483111092,377.0051654472319,366.4080668920945,369.49737548828125,5180217,0.0,0.0
2011-12-28,367.8449391129833,371.5449265432604,361.7740629610839,369.76678466796875,3220272,0.0,0.0
2011-12-29,368.1682158494745,369.19199968276456,357.104143067007,359.0439453125,4525890,0.0,0.0
2011-12-30,361.0196714272263,363.5342391007646,355.81094348383766,357.3017272949219,5552145,0.0,0.0
2012-01-02,359.94202382654197,364.6119247353045,355.8827772219861,362.47454833984375,3307961,0.0,0.0
2012-01-03,367.0905947972384,382.46538550874396,366.4080885781517,381.0823669433594,5295413,0.0,0.0
2012-01-04,382.357578998655,387.2070971883267,377.5439743958372,384.3153381347656,5844006,0.0,0.0
