Date,Open,High,Low,Close,Volume
2011-09-05 00:00:00+05:30,361.2650503069727,367.4532750765729,355.0946034885032,365.4972229003906,3789658
2011-09-06 00:00:00+05:30,362.0474925407709,370.58299334723307,357.42409627060385,367.7022705078125,4763292
2011-09-07 00:00:00+05:30,367.7733307525111,373.4281079267322,364.53696249990526,366.67083740234375,4432156
2011-09-08 00:00:00+05:30,367.38209039906815,375.1884978973072,365.9595072803883,368.4668273925781,4892662
2011-09-09 00:00:00+05:30,369.871664879654,373.997147843629,359.4334684045118,361.35394287109375,5062650
2011-09-12 00:00:00+05:30,355.6458199958897,357.01504772011464,348.05279042173674,350.5600891113281,3297170
2011-09-13 00:00:00+05:30,354.86333461793714,364.18125786163523,351.64474483466,353.4229736328125,3798204
2011-09-14 00:00:00+05:30,356.00142492531296,365.9595067414056,353.42299302650326,361.0160217285156,4745632
2011-09-15 00:00:00+05:30,365.6039188349307,371.9344320713272,359.20229379696497,370.4940490722656,3852238
2011-09-16 00:00:00+05:30,372.7168429594381,381.3946101996505,363.221094622813,365.5150146484375,4656504
2011-09-19 00:00:00+05:30,363.29219846231337,367.2043024105125,360.0913861410595,362.0652160644531,2240234
2011-09-20 00:00:00+05:30,363.505539715795,378.40710644365583,363.505539715795,376.25543212890625,3487986
2011-09-21 00:00:00+05:30,379.81194776091695,379.81194776091695,368.7691707592627,371.1164245605469,2740760
2011-09-22 00:00:00+05:30,363.82560410624683,367.73770737620646,350.73784478085156,353.6541442871094,3141570
2011-09-23 00:00:00+05:30,351.378094338547,360.9805321392967,349.33313073283176,352.1960754394531,4564232
2011-09-26 00:00:00+05:30,354.2231368635381,358.4908855004482,344.6207024304904,354.5610046386719,3388478
2011-09-27 00:00:00+05:30,360.55374345928993,371.64989786121515,357.77971028553344,370.0672912597656,3964578
2011-09-28 00:00:00+05:30,372.8945616244216,378.6560052968807,368.8046355789463,372.6811828613281,4425190
2011-09-29 00:00:00+05:30,371.0274474929152,379.8296802515537,368.34230457880443,377.50018310546875,5380350
2011-09-30 00:00:00+05:30,373.3925667776578,378.40716431371726,367.4176994492906,368.91143798828125,2691018
2011-10-03 00:00:00+05:30,362.7587234111262,373.3925417311329,361.08718377559745,371.0452880859375,3949264
