Date,Open,High,Low,Close,Volume,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Daily_Return,SMA_20,Volatility_20,Log_Volume,RSI_14,MACD,MACD_Signal,ROC_10,BB_Lower,BB_Middle,BB_Upper,OBV,Day_of_Week,Target_Close_Next,Target_Pct_Change,Target_Class_Next
2011-09-13,590.9227896464095,600.9990180261696,583.379110623488,587.2766723632812,1956251,591.0843505859375,608.0037841796875,614.721435546875,603.5135498046875,590.6713256835938,-0.006441852535736592,580.4434326171875,17.712965391274878,14.486540955634295,44.31163566818812,-2.558559533490211,-8.438209246972242,6.758739524608917,545.9145064360927,580.4434326171875,614.9723587982822,-37377715.0,1,577.864990234375,-0.016025976463584633,Down
2011-09-14,588.120834960915,589.1266620280855,573.3567005591817,577.864990234375,4403047,587.2766723632812,591.0843505859375,608.0037841796875,614.721435546875,603.5135498046875,-0.016025976463584612,580.0212432861329,17.666374455385938,15.297807586336429,41.21696623202411,-3.326147244624053,-7.415796846502605,-0.34691131673574754,545.5831395591264,580.0212432861329,614.4593470131393,-41780762.0,2,571.3989868164062,-0.011189470771271708,Down
2011-09-15,582.2655108937416,582.2655108937416,565.8309994935234,571.3989868164062,4613487,577.864990234375,587.2766723632812,591.0843505859375,608.0037841796875,614.721435546875,-0.011189470771271748,579.6647125244141,17.769712509794278,15.344494744935265,39.19186925945667,-4.405435356551152,-6.813724548512315,-1.1373877370160597,545.0251658445454,579.6647125244141,614.3042592042827,-46394249.0,3,577.9190673828125,0.0114107317598398,Up
2011-09-16,575.5302210771134,586.3967486490108,573.71614034856,577.9190673828125,4003663,571.3989868164062,577.864990234375,587.2766723632812,591.0843505859375,608.0037841796875,0.011410731759839754,579.0432647705078,17.592883116218985,15.20272049981218,42.27192511671338,-4.680706677047965,-6.387120974219446,-0.031029718953520354,544.7484220372983,579.0432647705078,613.3381075037173,-42390586.0,4,560.8377685546875,-0.029556558681270124,Down
2011-09-19,574.0392170834413,574.0392170834413,560.3707439728535,560.8377685546875,4533997,577.9190673828125,571.3989868164062,577.864990234375,587.2766723632812,591.0843505859375,-0.029556558681270162,577.844351196289,17.991296833793946,15.327114668937913,36.986363025791256,-6.205644436637499,-6.350825666703058,-3.937863809714974,542.7728571492087,577.844351196289,612.9158452433694,-46924583.0,0,561.4305419921875,0.0010569427929713305,Flat
2011-09-20,561.8256901458898,564.9150481955088,557.1557888133162,561.4305419921875,5632206,560.8377685546875,577.9190673828125,571.3989868164062,577.864990234375,587.2766723632812,0.001056942792971416,578.1559783935547,17.6287176965839,15.544011930405958,37.27945337231116,-7.282389877921219,-6.537138508946691,-4.95043223192956,543.7912812032953,578.1559783935547,612.5206755838142,-41292377.0,1,560.0296020507812,-0.002495304114441541,Flat
2011-09-21,562.7955897259912,570.806293370631,557.9281144377283,560.0296020507812,3408439,561.4305419921875,560.8377685546875,577.9190673828125,571.3989868164062,577.864990234375,-0.0024953041144415433,578.1020935058593,17.685129154420398,15.041765266578846,36.84329829116659,-8.154759550857761,-6.860662717328905,-7.205131975575159,543.6274301399552,578.1020935058593,612.5767568717635,-44700816.0,2,535.7998657226562,-0.043265099272248725,Down
2011-09-22,554.138189382773,554.138189382773,531.6867245738521,535.7998657226562,7750496,560.0296020507812,561.4305419921875,560.8377685546875,577.9190673828125,571.3989868164062,-0.04326509927224875,576.2826202392578,20.040511768891527,15.86326752830561,30.25114781330948,-10.678164790292499,-7.624163131921625,-12.83859082512841,537.216470884036,576.2826202392578,615.3487695944796,-52451312.0,3,521.3231811523438,-0.027018828291020893,Down
2011-09-23,531.6508528170256,531.6508528170256,517.3178297673547,521.3231811523438,6487438,535.7998657226562,560.0296020507812,561.4305419921875,560.8377685546875,577.9190673828125,-0.02701882829102087,574.364370727539,23.2858560136349,15.68537840371458,27.128006740550088,-13.688338436025106,-8.836998192742321,-14.256589396773629,528.9718807859925,574.364370727539,619.7568606690855,-58938750.0,4,512.450439453125,-0.01701965694217981,Down
2011-09-26,522.311137471582,523.3887918639235,506.5053095019115,512.450439453125,4349502,521.3231811523438,535.7998657226562,560.0296020507812,561.4305419921875,560.8377685546875,-0.017019656942179773,572.2099304199219,26.841158501819862,15.285572143663947,25.397347686012473,-16.5985411893314,-10.389306792060136,-13.30333158962224,519.88688004119,572.2099304199219,624.5329807986537,-63288252.0,0,519.3115234375,0.013388775686673206,Up
2011-09-27,522.706195855112,525.1848251976853,518.0003815963465,519.3115234375,2792272,512.450439453125,521.3231811523438,535.7998657226562,560.0296020507812,561.4305419921875,0.013388775686673293,570.670654296875,28.974019564207307,14.842366517453936,29.16080365992466,-18.14213446807605,-11.93987232726332,-11.572935232090906,514.189892289915,570.670654296875,627.151416303835,-60495980.0,1,504.24212646484375,-0.029018029241690564,Down
2011-09-28,522.2392742313992,522.4367989688225,502.93098448901054,504.24212646484375,4059875,519.3115234375,512.450439453125,521.3231811523438,535.7998657226562,560.0296020507812,-0.029018029241690613,566.8889282226562,32.43808055619172,15.216662989239582,26.05220356181975,-20.346871587782175,-13.621272179367093,-12.740495619862818,503.6554681983466,566.8889282226562,630.1223882469658,-64555855.0,2,491.9566650390625,-0.02436421072533654,Down
2011-09-29,503.55956480124127,503.55956480124127,484.4668573580034,491.9566650390625,9596691,504.24212646484375,519.3115234375,512.450439453125,521.3231811523438,535.7998657226562,-0.024364210725336566,562.5881225585938,36.356716659451436,16.076929013722253,23.822566391305376,-22.822393358408704,-15.461496415175416,-13.903126118574834,491.715834492161,562.5881225585938,633.4604106250266,-74152546.0,3,487.6818542480469,-0.008689405174897255,Down
2011-09-30,492.4954584695319,502.3381977484008,485.2391385532956,487.6818542480469,6847715,491.9566650390625,504.24212646484375,519.3115234375,512.450439453125,521.3231811523438,-0.008689405174897247,558.0672927856446,39.78628884830696,15.739425723981112,23.08231504641528,-24.842831009796555,-17.337763334099645,-15.61416091416009,480.50953775612146,558.0672927856446,635.6250478151677,-81000261.0,4,473.8877258300781,-0.028285096724047314,Down
2011-10-03,482.6887253010393,482.70668209465066,467.9425965210719,473.8877258300781,5427659,487.6818542480469,491.9566650390625,504.24212646484375,519.3115234375,512.450439453125,-0.02828509672404733,552.5702728271484,43.464602218396756,15.507018659802606,20.832746460473572,-27.243072108929255,-19.31882508906557,-15.503599721660123,467.84216500682,552.5702728271484,637.2983806474768,-86427920.0,0,480.8926086425781,0.014781735062308283,Up
2011-10-04,472.738250955597,489.8013489991296,470.9959979644108,480.8926086425781,6583880,473.8877258300781,487.6818542480469,491.9566650390625,504.24212646484375,519.3115234375,0.014781735062308288,547.0813369750977,45.29301691994237,15.700134947056627,24.83869599035041,-28.25434645387452,-21.10592936202736,-14.345128618017025,458.7889927401711,547.0813369750977,635.3736812100242,-79844040.0,1,482.4552612304688,0.003249483480940998,Flat
2011-10-05,484.9518476466575,491.23825500520456,481.05428593736593,482.4552612304688,3468762,480.8926086425781,473.8877258300781,487.6818542480469,491.9566650390625,504.24212646484375,0.0032494834809408957,541.0284225463868,45.44335387234362,15.059308604217607,25.741415453516034,-28.600012512516912,-22.604745992125274,-13.851828641957807,452.44301763996407,541.0284225463868,629.6138274528095,-76375278.0,2,500.4522705078125,0.037302959929265904,Up
2011-10-07,496.0876849253708,502.37409116173546,493.9323273210751,500.4522705078125,3980576,482.4552612304688,480.8926086425781,473.8877258300781,487.6818542480469,491.9566650390625,0.0373029599292658,535.3149642944336,42.796803654260394,15.196937341627152,35.369089192523546,-27.109248570382874,-23.505646507776795,-6.5971638808025705,451.8886355277841,535.3149642944336,618.7412930610831,-72394702.0,4,497.6324462890625,-0.005634551754333543,Down
2011-10-10,500.39843392012335,503.18242767730266,491.47173656836543,497.6324462890625,3331874,500.4522705078125,482.4552612304688,480.8926086425781,473.8877258300781,487.6818542480469,-0.005634551754333583,529.7963973999024,39.9519301114219,15.019045766559163,34.61189639906062,-25.857277059718058,-23.97597261816505,-4.544347099799927,451.91574810505983,529.7963973999024,607.677046694745,-75726576.0,0,506.4334716796875,0.01768579492003763,Up
2011-10-11,503.27233544335417,511.857756310628,503.27233544335417,506.4334716796875,3042045,497.6324462890625,500.4522705078125,482.4552612304688,480.8926086425781,473.8877258300781,0.017685794920037523,525.5638534545899,37.52774566583014,14.928040873317551,39.00123947513063,-23.879641775931077,-23.956706449718258,-1.1741560373835693,452.40880960876075,525.5638534545899,598.718897300419,-72684531.0,1,518.5752563476562,0.023975083297117197,Up
